,unpriv,priv,SUM
TP,283.0,150.0,433.0
TN,936.0,1063.0,1999.0
FP,354.0,437.0,791.0
FN,287.0,210.0,497.0
size,1860.0,1860.0,3720.0
accuracy_equality,0.6553763440860215,0.6521505376344086,1.3075268817204302
opportunity_equality,0.4964912280701754,0.4166666666666667,0.9131578947368422
predictive_equality,0.2744186046511628,0.29133333333333333,0.5657519379844962
statistical_parity,0.3424731182795699,0.3155913978494624,0.6580645161290323
predictive_parity,0.44427001569858715,0.2555366269165247,0.6998066426151118
neg_predictive_parity,0.7653311529026983,0.8350353495679497,1.600366502470648
treatment equality,0.5450125597601491,0.4994285714285714,1.0444411311887205
