,unpriv,priv,SUM
TP,5300.0,18567.0,23867.0
TN,76248.0,52704.0,128952.0
FP,1482.0,6066.0,7548.0
FN,5050.0,10743.0,15793.0
size,88080.0,88080.0,176160.0
accuracy_equality,0.9258401453224342,0.8091621253405995,1.7350022706630337
opportunity_equality,0.5120772946859904,0.6334698055271238,1.1455471002131143
predictive_equality,0.01906599768429178,0.10321592649310873,0.12228192417740051
statistical_parity,0.07699818346957311,0.27966621253405993,0.35666439600363303
predictive_parity,0.7814803892657033,0.7537449762513702,1.5352253655170736
neg_predictive_parity,0.9378828507466358,0.8306775734077262,1.768560424154362
treatment equality,0.03907585664008315,0.2816027930292299,0.3206786496693131
