,unpriv,priv,SUM
TP,65.0,166.0,231.0
TN,209.0,79.0,288.0
FP,1.0,11.0,12.0
FN,25.0,44.0,69.0
size,300.0,300.0,600.0
accuracy_equality,0.9133333333333333,0.8166666666666667,1.73
opportunity_equality,0.7222222222222222,0.7904761904761904,1.5126984126984127
predictive_equality,0.004761904761904762,0.12222222222222222,0.12698412698412698
statistical_parity,0.22,0.59,0.8099999999999999
predictive_parity,0.9848484848484849,0.9378531073446328,1.9227015921931176
neg_predictive_parity,0.8931623931623932,0.6422764227642277,1.535438815926621
treatment equality,0.017142857142857144,0.5833333333333333,0.6004761904761904
