,unpriv,priv,SUM
TP,68.0,168.0,236.0
TN,210.0,79.0,289.0
FP,0.0,11.0,11.0
FN,22.0,42.0,64.0
size,300.0,300.0,600.0
accuracy_equality,0.9266666666666666,0.8233333333333334,1.75
opportunity_equality,0.7555555555555555,0.8,1.5555555555555556
predictive_equality,0.0,0.12222222222222222,0.12222222222222222
statistical_parity,0.22666666666666666,0.5966666666666667,0.8233333333333334
predictive_parity,1.0,0.9385474860335196,1.9385474860335195
neg_predictive_parity,0.9051724137931034,0.6528925619834711,1.5580649757765745
treatment equality,0.0,0.611111111111111,0.611111111111111
