,unpriv,priv,SUM
TP,1386.0,1237.0,2623.0
TN,32.0,44.0,76.0
FP,148.0,196.0,344.0
FN,24.0,113.0,137.0
size,1590.0,1590.0,3180.0
accuracy_equality,0.8918238993710692,0.8056603773584906,1.69748427672956
opportunity_equality,0.9829787234042553,0.9162962962962963,1.8992750197005517
predictive_equality,0.8222222222222222,0.8166666666666667,1.6388888888888888
statistical_parity,0.9647798742138365,0.9012578616352201,1.8660377358490567
predictive_parity,0.9035202086049544,0.8632240055826936,1.7667442141876482
neg_predictive_parity,0.5714285714285714,0.2802547770700637,0.851683348498635
treatment equality,48.30555555555555,9.756637168141594,58.062192723697144
