,unpriv,priv,SUM
TP,1352.0,1196.0,2548.0
TN,28.0,65.0,93.0
FP,152.0,175.0,327.0
FN,58.0,154.0,212.0
size,1590.0,1590.0,3180.0
accuracy_equality,0.8679245283018868,0.7930817610062894,1.661006289308176
opportunity_equality,0.9588652482269504,0.8859259259259259,1.8447911741528764
predictive_equality,0.8444444444444444,0.7291666666666666,1.573611111111111
statistical_parity,0.9459119496855346,0.8622641509433963,1.808176100628931
predictive_parity,0.898936170212766,0.8723559445660102,1.7712921147787761
neg_predictive_parity,0.32558139534883723,0.2968036529680365,0.6223850483168738
treatment equality,20.52873563218391,6.392045454545454,26.920781086729363
