,unpriv,priv,SUM
TP,145.0,130.0,275.0
TN,348.0,219.0,567.0
FP,42.0,51.0,93.0
FN,95.0,230.0,325.0
size,630.0,630.0,1260.0
accuracy_equality,0.7825396825396825,0.553968253968254,1.3365079365079366
opportunity_equality,0.6041666666666666,0.3611111111111111,0.9652777777777777
predictive_equality,0.1076923076923077,0.18888888888888888,0.2965811965811966
statistical_parity,0.2968253968253968,0.2873015873015873,0.584126984126984
predictive_parity,0.7754010695187166,0.7182320441988951,1.4936331137176118
neg_predictive_parity,0.7855530474040632,0.48775055679287305,1.2733036041969363
treatment equality,0.27206477732793527,0.2956521739130435,0.5677169512409788
