,unpriv,priv,SUM
TP,5055.0,17639.0,22694.0
TN,76504.0,53877.0,130381.0
FP,1226.0,4893.0,6119.0
FN,5295.0,11671.0,16966.0
size,88080.0,88080.0,176160.0
accuracy_equality,0.9259650317892825,0.8119436875567666,1.737908719346049
opportunity_equality,0.48840579710144927,0.6018082565677243,1.0902140536691736
predictive_equality,0.015772545992538273,0.08325676365492599,0.09902930964746426
statistical_parity,0.07131017257039056,0.25581289736603086,0.32712306993642143
predictive_parity,0.8048081515682216,0.7828421800106515,1.5876503315788733
neg_predictive_parity,0.9352681573124366,0.8219472752791848,1.7572154325916214
treatment equality,0.030830189050570563,0.20908711701875424,0.2399173060693248
