,unpriv,priv,SUM
TP,5319.0,17123.0,22442.0
TN,76377.0,54051.0,130428.0
FP,1353.0,4719.0,6072.0
FN,5031.0,12187.0,17218.0
size,88080.0,88080.0,176160.0
accuracy_equality,0.9275204359673025,0.8080608537693006,1.735581289736603
opportunity_equality,0.5139130434782608,0.5842033435687478,1.0981163870470088
predictive_equality,0.017406406792744113,0.08029606942317509,0.09770247621591921
statistical_parity,0.07574931880108991,0.24797910990009084,0.32372842870118074
predictive_parity,0.7972122302158273,0.7839483563776211,1.5811605865934484
neg_predictive_parity,0.9382001768867925,0.8160119568827561,1.7542121337695487
treatment equality,0.03580924474357018,0.1931137929591583,0.22892303770272848
