,unpriv,priv,SUM
TP,80.0,197.0,277.0
TN,210.0,61.0,271.0
FP,0.0,29.0,29.0
FN,10.0,13.0,23.0
size,300.0,300.0,600.0
accuracy_equality,0.9666666666666667,0.86,1.8266666666666667
opportunity_equality,0.8888888888888888,0.9380952380952381,1.826984126984127
predictive_equality,0.0,0.32222222222222224,0.32222222222222224
statistical_parity,0.26666666666666666,0.7533333333333333,1.02
predictive_parity,1.0,0.8716814159292036,1.8716814159292037
neg_predictive_parity,0.9545454545454546,0.8243243243243243,1.778869778869779
treatment equality,0.0,5.205128205128205,5.205128205128205
