,unpriv,priv,SUM
TP,79.0,202.0,281.0
TN,210.0,79.0,289.0
FP,0.0,11.0,11.0
FN,11.0,8.0,19.0
size,300.0,300.0,600.0
accuracy_equality,0.9633333333333334,0.9366666666666666,1.9
opportunity_equality,0.8777777777777778,0.9619047619047619,1.8396825396825398
predictive_equality,0.0,0.12222222222222222,0.12222222222222222
statistical_parity,0.2633333333333333,0.71,0.9733333333333333
predictive_parity,1.0,0.9483568075117371,1.948356807511737
neg_predictive_parity,0.9502262443438914,0.9080459770114943,1.8582722213553855
treatment equality,0.0,3.208333333333333,3.208333333333333
