,unpriv,priv,SUM
TP,48.0,160.0,208.0
TN,209.0,74.0,283.0
FP,1.0,16.0,17.0
FN,42.0,50.0,92.0
size,300.0,300.0,600.0
accuracy_equality,0.8566666666666667,0.78,1.6366666666666667
opportunity_equality,0.5333333333333333,0.7619047619047619,1.295238095238095
predictive_equality,0.004761904761904762,0.17777777777777778,0.18253968253968256
statistical_parity,0.16333333333333333,0.5866666666666667,0.75
predictive_parity,0.9795918367346939,0.9090909090909091,1.8886827458256028
neg_predictive_parity,0.8326693227091634,0.5967741935483871,1.4294435162575505
treatment equality,0.010204081632653062,0.7466666666666667,0.7568707482993198
