,unpriv,priv,SUM
TP,178.0,211.0,389.0
TN,381.0,169.0,550.0
FP,9.0,71.0,80.0
FN,2.0,119.0,121.0
size,570.0,570.0,1140.0
accuracy_equality,0.980701754385965,0.6666666666666666,1.6473684210526316
opportunity_equality,0.9888888888888889,0.6393939393939394,1.6282828282828283
predictive_equality,0.023076923076923078,0.29583333333333334,0.3189102564102564
statistical_parity,0.3280701754385965,0.49473684210526314,0.8228070175438597
predictive_parity,0.9518716577540107,0.74822695035461,1.7000986081086207
neg_predictive_parity,0.9947780678851175,0.5868055555555556,1.581583623440673
treatment equality,2.076923076923077,0.8203781512605043,2.8973012281835815
