,unpriv,priv,SUM
TP,180.0,254.0,434.0
TN,320.0,188.0,508.0
FP,70.0,52.0,122.0
FN,0.0,76.0,76.0
size,570.0,570.0,1140.0
accuracy_equality,0.8771929824561403,0.775438596491228,1.6526315789473682
opportunity_equality,1.0,0.7696969696969697,1.7696969696969695
predictive_equality,0.1794871794871795,0.21666666666666667,0.3961538461538462
statistical_parity,0.43859649122807015,0.5368421052631579,0.975438596491228
predictive_parity,0.72,0.8300653594771242,1.550065359477124
neg_predictive_parity,1.0,0.7121212121212122,1.7121212121212122
treatment equality,0.0,0.9407894736842105,0.9407894736842105
