,unpriv,priv,SUM
TP,178.0,212.0,390.0
TN,382.0,179.0,561.0
FP,8.0,61.0,69.0
FN,2.0,118.0,120.0
size,570.0,570.0,1140.0
accuracy_equality,0.9824561403508771,0.6859649122807018,1.668421052631579
opportunity_equality,0.9888888888888889,0.6424242424242425,1.6313131313131315
predictive_equality,0.020512820512820513,0.25416666666666665,0.27467948717948715
statistical_parity,0.3263157894736842,0.4789473684210526,0.8052631578947369
predictive_parity,0.956989247311828,0.7765567765567766,1.7335460238686045
neg_predictive_parity,0.9947916666666666,0.6026936026936027,1.5974852693602695
treatment equality,1.846153846153846,0.7108050847457626,2.556958930899609
