,unpriv,priv,SUM
TP,180.0,181.0,361.0
TN,389.0,202.0,591.0
FP,1.0,38.0,39.0
FN,0.0,149.0,149.0
size,570.0,570.0,1140.0
accuracy_equality,0.9982456140350877,0.6719298245614035,1.670175438596491
opportunity_equality,1.0,0.5484848484848485,1.5484848484848484
predictive_equality,0.002564102564102564,0.15833333333333333,0.16089743589743588
statistical_parity,0.3175438596491228,0.38421052631578945,0.7017543859649122
predictive_parity,0.994475138121547,0.8264840182648402,1.8209591563863872
neg_predictive_parity,1.0,0.5754985754985755,1.5754985754985755
treatment equality,0.0,0.3506711409395973,0.3506711409395973
