,unpriv,priv,SUM
TP,1410.0,1345.0,2755.0
TN,9.0,13.0,22.0
FP,171.0,227.0,398.0
FN,0.0,5.0,5.0
size,1590.0,1590.0,3180.0
accuracy_equality,0.8924528301886793,0.8540880503144654,1.7465408805031446
opportunity_equality,1.0,0.9962962962962963,1.9962962962962965
predictive_equality,0.95,0.9458333333333333,1.8958333333333333
statistical_parity,0.9943396226415094,0.9886792452830189,1.9830188679245282
predictive_parity,0.8918406072106262,0.8555979643765903,1.7474385715872165
neg_predictive_parity,1.0,0.7222222222222222,1.7222222222222223
treatment equality,0.0,255.37499999999997,255.37499999999997
