,unpriv,priv,SUM
TP,508.0,306.0,814.0
TN,292.0,368.0,660.0
FP,998.0,1132.0,2130.0
FN,62.0,54.0,116.0
size,1860.0,1860.0,3720.0
accuracy_equality,0.43010752688172044,0.36236559139784946,0.7924731182795699
opportunity_equality,0.8912280701754386,0.85,1.7412280701754386
predictive_equality,0.7736434108527132,0.7546666666666667,1.5283100775193799
statistical_parity,0.8096774193548387,0.7731182795698924,1.5827956989247312
predictive_parity,0.33731739707835323,0.21279554937413073,0.550112946452484
neg_predictive_parity,0.8248587570621468,0.8720379146919431,1.6968966717540899
treatment equality,7.112528132033008,5.0311111111111115,12.143639243144118
